Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Year,Month_Num
Mildura-Melbourne,Mildura,Melbourne,All Airlines,Apr-16,205,202,3,184,190,18,12,2016,4
Moranbah-Brisbane,Moranbah,Brisbane,All Airlines,Apr-16,167,155,12,146,146,9,9,2016,4
Mount Isa-Brisbane,Mount Isa,Brisbane,All Airlines,Apr-16,73,71,2,68,68,3,3,2016,4
Newcastle-Brisbane,Newcastle,Brisbane,All Airlines,Apr-16,255,246,9,216,217,30,29,2016,4
Newcastle-Melbourne,Newcastle,Melbourne,All Airlines,Apr-16,116,112,4,92,95,20,17,2016,4
Newman-Perth,Newman,Perth,All Airlines,Apr-16,179,177,2,169,167,8,10,2016,4
Perth-Adelaide,Perth,Adelaide,All Airlines,Apr-16,226,226,0,206,205,20,21,2016,4
Perth-Brisbane,Perth,Brisbane,All Airlines,Apr-16,240,240,0,223,190,17,50,2016,4
Perth-Broome,Perth,Broome,All Airlines,Apr-16,147,147,0,137,132,10,15,2016,4
Perth-Darwin,Perth,Darwin,All Airlines,Apr-16,63,63,0,58,59,5,4,2016,4
Perth-Geraldton,Perth,Geraldton,All Airlines,Apr-16,104,104,0,98,97,6,7,2016,4
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,Apr-16,137,137,0,126,124,11,13,2016,4
Perth-Karratha,Perth,Karratha,All Airlines,Apr-16,268,266,2,249,241,17,25,2016,4
Perth-Melbourne,Perth,Melbourne,All Airlines,Apr-16,461,460,1,399,397,61,63,2016,4
Perth-Newman,Perth,Newman,All Airlines,Apr-16,180,180,0,169,169,11,11,2016,4
Perth-Port Hedland,Perth,Port Hedland,All Airlines,Apr-16,189,189,0,175,170,14,19,2016,4
Perth-Sydney,Perth,Sydney,All Airlines,Apr-16,368,367,1,339,311,28,56,2016,4
Port Hedland-Perth,Port Hedland,Perth,All Airlines,Apr-16,188,188,0,175,173,13,15,2016,4
Port Lincoln-Adelaide,Port Lincoln,Adelaide,All Airlines,Apr-16,310,309,1,295,289,14,20,2016,4
Port Macquarie-Sydney,Port Macquarie,Sydney,All Airlines,Apr-16,193,191,2,138,146,53,45,2016,4
Proserpine-Brisbane,Proserpine,Brisbane,All Airlines,Apr-16,59,59,0,55,57,4,2,2016,4
Rockhampton-Brisbane,Rockhampton,Brisbane,All Airlines,Apr-16,362,358,4,335,336,23,22,2016,4
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,All Airlines,Apr-16,130,130,0,100,111,30,19,2016,4
Sunshine Coast-Sydney,Sunshine Coast,Sydney,All Airlines,Apr-16,160,158,2,116,123,42,35,2016,4
Sydney-Adelaide,Sydney,Adelaide,All Airlines,Apr-16,564,560,4,488,501,72,59,2016,4
Sydney-Albury,Sydney,Albury,All Airlines,Apr-16,261,261,0,234,237,27,24,2016,4
Sydney-Armidale,Sydney,Armidale,All Airlines,Apr-16,201,199,2,152,149,47,50,2016,4
Sydney-Ayers Rock,Sydney,Ayers Rock,All Airlines,Apr-16,59,59,0,56,56,3,3,2016,4
Sydney-Ballina,Sydney,Ballina,All Airlines,Apr-16,124,124,0,106,108,18,16,2016,4
Sydney-Brisbane,Sydney,Brisbane,All Airlines,Apr-16,1372,1359,13,1250,1244,109,115,2016,4
Sydney-Cairns,Sydney,Cairns,All Airlines,Apr-16,307,304,3,262,279,42,25,2016,4
Sydney-Canberra,Sydney,Canberra,All Airlines,Apr-16,760,730,30,637,637,93,93,2016,4
Sydney-Coffs Harbour,Sydney,Coffs Harbour,All Airlines,Apr-16,221,218,3,187,182,31,36,2016,4
Sydney-Darwin,Sydney,Darwin,All Airlines,Apr-16,105,105,0,95,100,10,5,2016,4
Sydney-Dubbo,Sydney,Dubbo,All Airlines,Apr-16,270,264,6,220,224,44,40,2016,4
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,Apr-16,777,776,1,686,677,90,99,2016,4
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,Apr-16,71,71,0,65,62,6,9,2016,4
Sydney-Hobart,Sydney,Hobart,All Airlines,Apr-16,189,189,0,161,171,28,18,2016,4
Sydney-Launceston,Sydney,Launceston,All Airlines,Apr-16,75,75,0,70,72,5,3,2016,4
Sydney-Melbourne,Sydney,Melbourne,All Airlines,Apr-16,2281,2231,50,1958,1890,273,341,2016,4
Sydney-Perth,Sydney,Perth,All Airlines,Apr-16,370,370,0,317,323,53,47,2016,4
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,Apr-16,191,190,1,148,141,42,49,2016,4
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,Apr-16,159,159,0,125,127,34,32,2016,4
Sydney-Tamworth,Sydney,Tamworth,All Airlines,Apr-16,178,172,6,149,151,23,21,2016,4
Sydney-Townsville,Sydney,Townsville,All Airlines,Apr-16,55,54,1,43,47,11,7,2016,4
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,Apr-16,243,241,2,207,203,34,38,2016,4
Tamworth-Sydney,Tamworth,Sydney,All Airlines,Apr-16,178,173,5,149,147,24,26,2016,4
Townsville-Brisbane,Townsville,Brisbane,All Airlines,Apr-16,323,322,1,306,311,16,11,2016,4
Townsville-Cairns,Townsville,Cairns,All Airlines,Apr-16,196,192,4,181,181,11,11,2016,4
Townsville-Sydney,Townsville,Sydney,All Airlines,Apr-16,55,54,1,43,45,11,9,2016,4
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,Apr-16,243,242,1,218,207,24,35,2016,4
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,May-16,46,45,1,43,41,2,4,2016,5
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,May-16,265,265,0,242,247,23,18,2016,5
Adelaide-Canberra,Adelaide,Canberra,All Airlines,May-16,70,69,1,64,64,5,5,2016,5
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,May-16,61,61,0,52,54,9,7,2016,5
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,May-16,731,724,7,627,638,97,86,2016,5
Adelaide-Perth,Adelaide,Perth,All Airlines,May-16,204,202,2,174,166,28,36,2016,5
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,May-16,326,323,3,301,292,22,31,2016,5
Adelaide-Sydney,Adelaide,Sydney,All Airlines,May-16,548,539,9,448,472,91,67,2016,5
Albury-Sydney,Albury,Sydney,All Airlines,May-16,283,280,3,244,242,36,38,2016,5
Alice Springs-Adelaide,Alice Springs,Adelaide,All Airlines,May-16,46,44,2,38,37,6,7,2016,5
Alice Springs-Darwin,Alice Springs,Darwin,All Airlines,May-16,65,64,1,59,58,5,6,2016,5
Armidale-Sydney,Armidale,Sydney,All Airlines,May-16,199,197,2,154,152,43,45,2016,5
Ayers Rock-Sydney,Ayers Rock,Sydney,All Airlines,May-16,62,61,1,50,55,11,6,2016,5
Ballina-Sydney,Ballina,Sydney,All Airlines,May-16,126,125,1,98,93,27,32,2016,5
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,May-16,265,265,0,251,247,14,18,2016,5
Brisbane-Bundaberg,Brisbane,Bundaberg,All Airlines,May-16,165,165,0,155,156,10,9,2016,5
Brisbane-Cairns,Brisbane,Cairns,All Airlines,May-16,367,366,1,325,347,41,19,2016,5
Brisbane-Canberra,Brisbane,Canberra,All Airlines,May-16,252,252,0,238,238,14,14,2016,5
Brisbane-Darwin,Brisbane,Darwin,All Airlines,May-16,107,107,0,102,103,5,4,2016,5
Brisbane-Emerald,Brisbane,Emerald,All Airlines,May-16,203,201,2,186,176,15,25,2016,5
Brisbane-Gladstone,Brisbane,Gladstone,All Airlines,May-16,313,310,3,290,295,20,15,2016,5
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,May-16,63,63,0,58,59,5,4,2016,5
Brisbane-Hobart,Brisbane,Hobart,All Airlines,May-16,53,53,0,44,48,9,5,2016,5
Brisbane-Mackay,Brisbane,Mackay,All Airlines,May-16,308,307,1,283,285,24,22,2016,5
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,May-16,999,987,12,909,889,78,98,2016,5
Brisbane-Moranbah,Brisbane,Moranbah,All Airlines,May-16,179,174,5,163,158,11,16,2016,5
Brisbane-Mount Isa,Brisbane,Mount Isa,All Airlines,May-16,75,75,0,73,74,2,1,2016,5
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,May-16,257,255,2,240,238,15,17,2016,5
Brisbane-Perth,Brisbane,Perth,All Airlines,May-16,237,237,0,213,191,24,46,2016,5
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,May-16,53,53,0,48,49,5,4,2016,5
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,May-16,385,380,5,352,356,28,24,2016,5
Brisbane-Sydney,Brisbane,Sydney,All Airlines,May-16,1395,1375,20,1257,1261,118,114,2016,5
Brisbane-Townsville,Brisbane,Townsville,All Airlines,May-16,334,334,0,316,318,18,16,2016,5
Broome-Perth,Broome,Perth,All Airlines,May-16,143,142,1,114,111,28,31,2016,5
Bundaberg-Brisbane,Bundaberg,Brisbane,All Airlines,May-16,165,165,0,156,156,9,9,2016,5
Cairns-Brisbane,Cairns,Brisbane,All Airlines,May-16,367,366,1,347,348,19,18,2016,5
Cairns-Melbourne,Cairns,Melbourne,All Airlines,May-16,186,186,0,148,149,38,37,2016,5
Cairns-Sydney,Cairns,Sydney,All Airlines,May-16,278,276,2,253,252,23,24,2016,5
Cairns-Townsville,Cairns,Townsville,All Airlines,May-16,207,207,0,198,198,9,9,2016,5
Canberra-Adelaide,Canberra,Adelaide,All Airlines,May-16,70,69,1,68,67,1,2,2016,5
Canberra-Brisbane,Canberra,Brisbane,All Airlines,May-16,252,252,0,239,231,13,21,2016,5
Canberra-Melbourne,Canberra,Melbourne,All Airlines,May-16,474,466,8,427,411,39,55,2016,5
Canberra-Sydney,Canberra,Sydney,All Airlines,May-16,787,753,34,642,656,111,97,2016,5
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,May-16,231,228,3,191,191,37,37,2016,5
Darwin-Alice Springs,Darwin,Alice Springs,All Airlines,May-16,65,64,1,61,61,3,3,2016,5
Darwin-Brisbane,Darwin,Brisbane,All Airlines,May-16,107,107,0,97,96,10,11,2016,5
Darwin-Melbourne,Darwin,Melbourne,All Airlines,May-16,88,88,0,69,73,19,15,2016,5
Darwin-Perth,Darwin,Perth,All Airlines,May-16,62,62,0,56,56,6,6,2016,5
Darwin-Sydney,Darwin,Sydney,All Airlines,May-16,99,98,1,76,81,22,17,2016,5
Dubbo-Sydney,Dubbo,Sydney,All Airlines,May-16,288,287,1,244,252,43,35,2016,5
Emerald-Brisbane,Emerald,Brisbane,All Airlines,May-16,203,200,3,185,191,15,9,2016,5
Geraldton-Perth,Geraldton,Perth,All Airlines,May-16,105,104,1,92,92,12,12,2016,5
Gladstone-Brisbane,Gladstone,Brisbane,All Airlines,May-16,312,309,3,293,300,16,9,2016,5
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,May-16,63,63,0,56,52,7,11,2016,5
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,May-16,432,429,3,365,370,64,59,2016,5
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,May-16,708,702,6,616,625,86,77,2016,5
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,May-16,63,63,0,58,58,5,5,2016,5
Hamilton Island-Melbourne,Hamilton Island,Melbourne,All Airlines,May-16,36,36,0,34,34,2,2,2016,5
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,May-16,71,70,1,57,60,13,10,2016,5
Hobart-Brisbane,Hobart,Brisbane,All Airlines,May-16,52,52,0,46,44,6,8,2016,5
Hobart-Melbourne,Hobart,Melbourne,All Airlines,May-16,469,463,6,365,359,98,104,2016,5
Hobart-Sydney,Hobart,Sydney,All Airlines,May-16,170,170,0,133,136,37,34,2016,5
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,May-16,142,141,1,124,123,17,18,2016,5
Karratha-Perth,Karratha,Perth,All Airlines,May-16,281,269,12,245,240,24,29,2016,5
Launceston-Melbourne,Launceston,Melbourne,All Airlines,May-16,313,310,3,259,258,51,52,2016,5
Launceston-Sydney,Launceston,Sydney,All Airlines,May-16,62,62,0,52,54,10,8,2016,5
Mackay-Brisbane,Mackay,Brisbane,All Airlines,May-16,307,305,2,283,288,22,17,2016,5
Melbourne-Adelaide,Melbourne,Adelaide,All Airlines,May-16,731,725,6,639,625,86,100,2016,5
Melbourne-Brisbane,Melbourne,Brisbane,All Airlines,May-16,1003,993,10,868,882,125,111,2016,5
Melbourne-Cairns,Melbourne,Cairns,All Airlines,May-16,186,186,0,148,148,38,38,2016,5
Melbourne-Canberra,Melbourne,Canberra,All Airlines,May-16,476,467,9,414,416,53,51,2016,5
Melbourne-Darwin,Melbourne,Darwin,All Airlines,May-16,88,88,0,77,70,11,18,2016,5
Melbourne-Gold Coast,Melbourne,Gold Coast,All Airlines,May-16,433,430,3,365,374,65,56,2016,5
Melbourne-Hamilton Island,Melbourne,Hamilton Island,All Airlines,May-16,36,36,0,33,36,3,0,2016,5
Melbourne-Hobart,Melbourne,Hobart,All Airlines,May-16,469,463,6,403,395,60,68,2016,5
Melbourne-Launceston,Melbourne,Launceston,All Airlines,May-16,313,310,3,276,266,34,44,2016,5
Melbourne-Mildura,Melbourne,Mildura,All Airlines,May-16,217,216,1,191,187,25,29,2016,5
Melbourne-Newcastle,Melbourne,Newcastle,All Airlines,May-16,133,133,0,105,109,28,24,2016,5
Melbourne-Perth,Melbourne,Perth,All Airlines,May-16,403,399,4,347,308,52,91,2016,5
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,All Airlines,May-16,106,103,3,89,89,14,14,2016,5
Melbourne-Sydney,Melbourne,Sydney,All Airlines,May-16,2326,2256,70,1942,1995,314,261,2016,5
Mildura-Melbourne,Mildura,Melbourne,All Airlines,May-16,217,215,2,195,190,20,25,2016,5
Moranbah-Brisbane,Moranbah,Brisbane,All Airlines,May-16,174,168,6,153,157,15,11,2016,5
Mount Isa-Brisbane,Mount Isa,Brisbane,All Airlines,May-16,74,74,0,70,70,4,4,2016,5
Newcastle-Brisbane,Newcastle,Brisbane,All Airlines,May-16,256,252,4,234,237,18,15,2016,5
Newcastle-Melbourne,Newcastle,Melbourne,All Airlines,May-16,133,133,0,113,114,20,19,2016,5
Newman-Perth,Newman,Perth,All Airlines,May-16,192,189,3,179,178,10,11,2016,5
Perth-Adelaide,Perth,Adelaide,All Airlines,May-16,206,202,4,178,182,24,20,2016,5
Perth-Brisbane,Perth,Brisbane,All Airlines,May-16,234,234,0,221,211,13,23,2016,5
Perth-Broome,Perth,Broome,All Airlines,May-16,143,142,1,122,117,20,25,2016,5
Perth-Darwin,Perth,Darwin,All Airlines,May-16,62,62,0,57,58,5,4,2016,5
Perth-Geraldton,Perth,Geraldton,All Airlines,May-16,105,104,1,95,93,9,11,2016,5
Perth-Kalgoorlie,Perth,Kalgoorlie,All Airlines,May-16,143,142,1,126,127,16,15,2016,5
Perth-Karratha,Perth,Karratha,All Airlines,May-16,283,273,10,250,236,23,37,2016,5
Perth-Melbourne,Perth,Melbourne,All Airlines,May-16,402,398,4,334,353,64,45,2016,5
Perth-Newman,Perth,Newman,All Airlines,May-16,191,190,1,179,180,11,10,2016,5
Perth-Port Hedland,Perth,Port Hedland,All Airlines,May-16,195,190,5,176,164,14,26,2016,5
Perth-Sydney,Perth,Sydney,All Airlines,May-16,359,356,3,302,330,54,26,2016,5
Port Hedland-Perth,Port Hedland,Perth,All Airlines,May-16,196,190,6,168,168,22,22,2016,5
Port Lincoln-Adelaide,Port Lincoln,Adelaide,All Airlines,May-16,325,321,4,292,289,29,32,2016,5
Port Macquarie-Sydney,Port Macquarie,Sydney,All Airlines,May-16,200,199,1,151,146,48,53,2016,5
Proserpine-Brisbane,Proserpine,Brisbane,All Airlines,May-16,53,53,0,50,51,3,2,2016,5
Rockhampton-Brisbane,Rockhampton,Brisbane,All Airlines,May-16,384,379,5,356,365,23,14,2016,5
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,All Airlines,May-16,106,103,3,76,77,27,26,2016,5
Sunshine Coast-Sydney,Sunshine Coast,Sydney,All Airlines,May-16,141,139,2,98,110,41,29,2016,5
Sydney-Adelaide,Sydney,Adelaide,All Airlines,May-16,546,537,9,470,448,67,89,2016,5
Sydney-Albury,Sydney,Albury,All Airlines,May-16,283,281,2,249,234,32,47,2016,5
Sydney-Armidale,Sydney,Armidale,All Airlines,May-16,203,202,1,152,150,50,52,2016,5
Sydney-Ayers Rock,Sydney,Ayers Rock,All Airlines,May-16,62,61,1,57,54,4,7,2016,5
Sydney-Ballina,Sydney,Ballina,All Airlines,May-16,127,126,1,107,107,19,19,2016,5
Sydney-Brisbane,Sydney,Brisbane,All Airlines,May-16,1373,1354,19,1248,1229,106,125,2016,5
Sydney-Cairns,Sydney,Cairns,All Airlines,May-16,279,277,2,252,256,25,21,2016,5
Sydney-Canberra,Sydney,Canberra,All Airlines,May-16,788,759,29,630,614,129,145,2016,5
Sydney-Coffs Harbour,Sydney,Coffs Harbour,All Airlines,May-16,231,228,3,193,194,35,34,2016,5
Sydney-Darwin,Sydney,Darwin,All Airlines,May-16,99,99,0,87,87,12,12,2016,5
Sydney-Dubbo,Sydney,Dubbo,All Airlines,May-16,288,287,1,239,241,48,46,2016,5
Sydney-Gold Coast,Sydney,Gold Coast,All Airlines,May-16,708,702,6,626,624,76,78,2016,5
Sydney-Hamilton Island,Sydney,Hamilton Island,All Airlines,May-16,71,71,0,61,61,10,10,2016,5
Sydney-Hobart,Sydney,Hobart,All Airlines,May-16,171,171,0,142,142,29,29,2016,5
Sydney-Launceston,Sydney,Launceston,All Airlines,May-16,62,62,0,58,57,4,5,2016,5
Sydney-Melbourne,Sydney,Melbourne,All Airlines,May-16,2325,2255,70,1975,1850,280,405,2016,5
Sydney-Perth,Sydney,Perth,All Airlines,May-16,367,365,2,312,266,53,99,2016,5
Sydney-Port Macquarie,Sydney,Port Macquarie,All Airlines,May-16,199,199,0,168,155,31,44,2016,5
Sydney-Sunshine Coast,Sydney,Sunshine Coast,All Airlines,May-16,142,140,2,110,110,30,30,2016,5
Sydney-Tamworth,Sydney,Tamworth,All Airlines,May-16,186,182,4,158,149,24,33,2016,5
Sydney-Townsville,Sydney,Townsville,All Airlines,May-16,44,43,1,39,40,4,3,2016,5
Sydney-Wagga Wagga,Sydney,Wagga Wagga,All Airlines,May-16,256,255,1,227,215,28,40,2016,5
Tamworth-Sydney,Tamworth,Sydney,All Airlines,May-16,185,181,4,148,142,33,39,2016,5
Townsville-Brisbane,Townsville,Brisbane,All Airlines,May-16,334,334,0,317,321,17,13,2016,5
Townsville-Cairns,Townsville,Cairns,All Airlines,May-16,205,204,1,193,193,11,11,2016,5
Townsville-Sydney,Townsville,Sydney,All Airlines,May-16,44,43,1,36,36,7,7,2016,5
Wagga Wagga-Sydney,Wagga Wagga,Sydney,All Airlines,May-16,256,255,1,217,221,38,34,2016,5
Adelaide-Alice Springs,Adelaide,Alice Springs,All Airlines,Jun-16,44,44,0,42,40,2,4,2016,6
Adelaide-Brisbane,Adelaide,Brisbane,All Airlines,Jun-16,251,251,0,227,230,24,21,2016,6
Adelaide-Canberra,Adelaide,Canberra,All Airlines,Jun-16,64,64,0,55,59,9,5,2016,6
Adelaide-Gold Coast,Adelaide,Gold Coast,All Airlines,Jun-16,62,62,0,55,58,7,4,2016,6
Adelaide-Melbourne,Adelaide,Melbourne,All Airlines,Jun-16,699,687,12,570,580,117,107,2016,6
Adelaide-Perth,Adelaide,Perth,All Airlines,Jun-16,203,203,0,184,166,19,37,2016,6
Adelaide-Port Lincoln,Adelaide,Port Lincoln,All Airlines,Jun-16,314,311,3,294,289,17,22,2016,6
Adelaide-Sydney,Adelaide,Sydney,All Airlines,Jun-16,521,512,9,443,443,69,69,2016,6
Albury-Sydney,Albury,Sydney,All Airlines,Jun-16,268,265,3,211,211,54,54,2016,6
Alice Springs-Adelaide,Alice Springs,Adelaide,All Airlines,Jun-16,44,44,0,34,35,10,9,2016,6
Alice Springs-Darwin,Alice Springs,Darwin,All Airlines,Jun-16,72,72,0,69,69,3,3,2016,6
Armidale-Sydney,Armidale,Sydney,All Airlines,Jun-16,194,183,11,138,139,45,44,2016,6
Ayers Rock-Sydney,Ayers Rock,Sydney,All Airlines,Jun-16,60,60,0,37,48,23,12,2016,6
Ballina-Sydney,Ballina,Sydney,All Airlines,Jun-16,129,126,3,98,103,28,23,2016,6
Brisbane-Adelaide,Brisbane,Adelaide,All Airlines,Jun-16,251,251,0,223,214,28,37,2016,6
Brisbane-Bundaberg,Brisbane,Bundaberg,All Airlines,Jun-16,162,162,0,145,147,17,15,2016,6
Brisbane-Cairns,Brisbane,Cairns,All Airlines,Jun-16,374,373,1,312,328,61,45,2016,6
Brisbane-Canberra,Brisbane,Canberra,All Airlines,Jun-16,227,227,0,198,202,29,25,2016,6
Brisbane-Darwin,Brisbane,Darwin,All Airlines,Jun-16,124,124,0,111,115,13,9,2016,6
Brisbane-Emerald,Brisbane,Emerald,All Airlines,Jun-16,204,203,1,190,182,13,21,2016,6
Brisbane-Gladstone,Brisbane,Gladstone,All Airlines,Jun-16,315,306,9,280,267,26,39,2016,6
Brisbane-Hamilton Island,Brisbane,Hamilton Island,All Airlines,Jun-16,59,58,1,51,51,7,7,2016,6
Brisbane-Hobart,Brisbane,Hobart,All Airlines,Jun-16,53,53,0,47,47,6,6,2016,6
Brisbane-Mackay,Brisbane,Mackay,All Airlines,Jun-16,304,297,7,254,250,43,47,2016,6
Brisbane-Melbourne,Brisbane,Melbourne,All Airlines,Jun-16,1001,982,19,840,799,142,183,2016,6
Brisbane-Moranbah,Brisbane,Moranbah,All Airlines,Jun-16,179,164,15,151,148,13,16,2016,6
Brisbane-Mount Isa,Brisbane,Mount Isa,All Airlines,Jun-16,74,74,0,71,71,3,3,2016,6
Brisbane-Newcastle,Brisbane,Newcastle,All Airlines,Jun-16,260,255,5,214,211,41,44,2016,6
Brisbane-Perth,Brisbane,Perth,All Airlines,Jun-16,230,230,0,199,152,31,78,2016,6
Brisbane-Proserpine,Brisbane,Proserpine,All Airlines,Jun-16,53,53,0,47,49,6,4,2016,6
Brisbane-Rockhampton,Brisbane,Rockhampton,All Airlines,Jun-16,379,374,5,331,326,43,48,2016,6
Brisbane-Sydney,Brisbane,Sydney,All Airlines,Jun-16,1360,1323,37,1141,1129,182,194,2016,6
Brisbane-Townsville,Brisbane,Townsville,All Airlines,Jun-16,329,327,2,290,295,37,32,2016,6
Broome-Perth,Broome,Perth,All Airlines,Jun-16,137,137,0,110,107,27,30,2016,6
Bundaberg-Brisbane,Bundaberg,Brisbane,All Airlines,Jun-16,162,162,0,146,147,16,15,2016,6
Cairns-Brisbane,Cairns,Brisbane,All Airlines,Jun-16,374,373,1,329,331,44,42,2016,6
Cairns-Melbourne,Cairns,Melbourne,All Airlines,Jun-16,203,203,0,146,144,57,59,2016,6
Cairns-Sydney,Cairns,Sydney,All Airlines,Jun-16,297,295,2,252,251,43,44,2016,6
Cairns-Townsville,Cairns,Townsville,All Airlines,Jun-16,216,215,1,200,200,15,15,2016,6
Canberra-Adelaide,Canberra,Adelaide,All Airlines,Jun-16,64,64,0,57,57,7,7,2016,6
Canberra-Brisbane,Canberra,Brisbane,All Airlines,Jun-16,227,227,0,193,191,34,36,2016,6
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Jun-16,431,423,8,368,360,55,63,2016,6
Canberra-Sydney,Canberra,Sydney,All Airlines,Jun-16,736,701,35,595,600,106,101,2016,6
Coffs Harbour-Sydney,Coffs Harbour,Sydney,All Airlines,Jun-16,222,216,6,173,174,43,42,2016,6
Darwin-Alice Springs,Darwin,Alice Springs,All Airlines,Jun-16,72,70,2,63,63,7,7,2016,6
Darwin-Brisbane,Darwin,Brisbane,All Airlines,Jun-16,124,124,0,112,112,12,12,2016,6
Darwin-Melbourne,Darwin,Melbourne,All Airlines,Jun-16,92,92,0,69,77,23,15,2016,6
Darwin-Perth,Darwin,Perth,All Airlines,Jun-16,68,68,0,62,61,6,7,2016,6
Darwin-Sydney,Darwin,Sydney,All Airlines,Jun-16,113,113,0,80,91,33,22,2016,6
Dubbo-Sydney,Dubbo,Sydney,All Airlines,Jun-16,274,268,6,227,218,41,50,2016,6
Emerald-Brisbane,Emerald,Brisbane,All Airlines,Jun-16,207,205,2,188,190,17,15,2016,6
Geraldton-Perth,Geraldton,Perth,All Airlines,Jun-16,104,103,1,91,96,12,7,2016,6
Gladstone-Brisbane,Gladstone,Brisbane,All Airlines,Jun-16,315,307,8,275,277,32,30,2016,6
Gold Coast-Adelaide,Gold Coast,Adelaide,All Airlines,Jun-16,62,62,0,57,48,5,14,2016,6
Gold Coast-Melbourne,Gold Coast,Melbourne,All Airlines,Jun-16,452,443,9,332,339,111,104,2016,6
Gold Coast-Sydney,Gold Coast,Sydney,All Airlines,Jun-16,699,682,17,552,555,130,127,2016,6
Hamilton Island-Brisbane,Hamilton Island,Brisbane,All Airlines,Jun-16,59,58,1,49,52,9,6,2016,6
Hamilton Island-Melbourne,Hamilton Island,Melbourne,All Airlines,Jun-16,33,32,1,25,27,7,5,2016,6
Hamilton Island-Sydney,Hamilton Island,Sydney,All Airlines,Jun-16,71,70,1,50,54,20,16,2016,6
Hobart-Brisbane,Hobart,Brisbane,All Airlines,Jun-16,53,53,0,42,41,11,12,2016,6
Hobart-Melbourne,Hobart,Melbourne,All Airlines,Jun-16,464,460,4,349,334,111,126,2016,6
Hobart-Sydney,Hobart,Sydney,All Airlines,Jun-16,174,172,2,135,136,37,36,2016,6
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,Jun-16,143,139,4,117,117,22,22,2016,6
Karratha-Perth,Karratha,Perth,All Airlines,Jun-16,263,254,9,216,211,38,43,2016,6
Launceston-Melbourne,Launceston,Melbourne,All Airlines,Jun-16,316,305,11,235,230,70,75,2016,6
Launceston-Sydney,Launceston,Sydney,All Airlines,Jun-16,63,63,0,45,45,18,18,2016,6
